,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus
803,10427.0,38.7,25.3,38.7,26.1,38.0,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
804,10440.0,38.7,25.3,38.7,26.1,38.2,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
805,10453.0,38.7,25.3,38.7,26.1,38.5,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
806,10466.0,38.7,25.3,38.7,26.1,38.7,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
807,10479.0,38.7,25.3,38.7,26.1,38.9,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
808,10492.0,38.7,25.3,38.7,26.1,39.2,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
809,10505.0,38.7,25.3,38.7,26.1,39.4,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
810,10518.0,38.7,25.3,38.7,26.1,39.7,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
811,10531.0,38.7,25.3,38.7,26.1,39.9,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
812,10544.0,38.7,25.3,38.7,26.1,40.1,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
813,10557.0,38.7,25.3,38.7,26.1,40.1,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
814,10570.0,38.7,25.3,38.7,26.1,40.4,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
815,10583.0,38.7,25.3,38.7,26.1,40.4,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
816,10596.0,38.7,25.3,38.7,26.1,40.4,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
817,10609.0,38.7,25.3,38.7,26.1,40.1,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
818,10622.0,38.7,25.3,38.7,26.1,40.1,0.204166666667,197.0,1.0,0.0,0.0,1.0,0.0,0.0,22.9,0.0,0.204166666667,0.0,0.204166666667,0.0,0.204166666667
